Código	Descripción
NIU	Unidad (bienes)
ZZ	Unidad (servicios)
C62	Unidad genérica
KGM	Kilogramo
GRM	Gramo
MGM	Miligramo
TNE	Tonelada métrica
LBR	Libra
LTR	Litro
MLT	Mililitro
GLL	Galón (EE. UU.)
MTR	Metro
CMT	Centímetro
MMT	Milímetro
KMT	Kilómetro
INH	Pulgada
FOT	Pie
YRD	Yarda
MTK	Metro cuadrado
CMK	Centímetro cuadrado
MTQ	Metro cúbico
CMQ	Centímetro cúbico
HUR	Hora
DAY	Día
MON	Mes
ANN	Año
SET	Juego (set)
PR	Par
DZN	Docena
CEN	Ciento
MIL	Millar
BX	Caja
CT	Cartón
PK	Paquete
BG	Bolsa
SA	Saco
BO	Botella
CA	Lata
DR	Tambor
BLL	Barril
BJ	Balde
BE	Fardo
ROL	Rollo
TU	Tubo
4A	Bobina
KWH	Kilovatio hora
CS	Caja (case)
CY	Cilindro
