Código	Descripción	Departamento	Provincia	Distrito
010101	AMAZONAS / CHACHAPOYAS / CHACHAPOYAS	AMAZONAS	CHACHAPOYAS	CHACHAPOYAS
010102	AMAZONAS / CHACHAPOYAS / ASUNCION	AMAZONAS	CHACHAPOYAS	ASUNCION
010103	AMAZONAS / CHACHAPOYAS / BALSAS	AMAZONAS	CHACHAPOYAS	BALSAS
010104	AMAZONAS / CHACHAPOYAS / CHETO	AMAZONAS	CHACHAPOYAS	CHETO
010105	AMAZONAS / CHACHAPOYAS / CHILIQUIN	AMAZONAS	CHACHAPOYAS	CHILIQUIN
010106	AMAZONAS / CHACHAPOYAS / CHUQUIBAMBA	AMAZONAS	CHACHAPOYAS	CHUQUIBAMBA
010107	AMAZONAS / CHACHAPOYAS / GRANADA	AMAZONAS	CHACHAPOYAS	GRANADA
010108	AMAZONAS / CHACHAPOYAS / HUANCAS	AMAZONAS	CHACHAPOYAS	HUANCAS
010109	AMAZONAS / CHACHAPOYAS / LA JALCA	AMAZONAS	CHACHAPOYAS	LA JALCA
010110	AMAZONAS / CHACHAPOYAS / LEIMEBAMBA	AMAZONAS	CHACHAPOYAS	LEIMEBAMBA
010111	AMAZONAS / CHACHAPOYAS / LEVANTO	AMAZONAS	CHACHAPOYAS	LEVANTO
010112	AMAZONAS / CHACHAPOYAS / MAGDALENA	AMAZONAS	CHACHAPOYAS	MAGDALENA
010113	AMAZONAS / CHACHAPOYAS / MARISCAL CASTILLA	AMAZONAS	CHACHAPOYAS	MARISCAL CASTILLA
010114	AMAZONAS / CHACHAPOYAS / MOLINOPAMPA	AMAZONAS	CHACHAPOYAS	MOLINOPAMPA
010115	AMAZONAS / CHACHAPOYAS / MONTEVIDEO	AMAZONAS	CHACHAPOYAS	MONTEVIDEO
010116	AMAZONAS / CHACHAPOYAS / OLLEROS	AMAZONAS	CHACHAPOYAS	OLLEROS
010117	AMAZONAS / CHACHAPOYAS / QUINJALCA	AMAZONAS	CHACHAPOYAS	QUINJALCA
010118	AMAZONAS / CHACHAPOYAS / SAN FRANCISCO DE DAGUAS	AMAZONAS	CHACHAPOYAS	SAN FRANCISCO DE DAGUAS
010119	AMAZONAS / CHACHAPOYAS / SAN ISIDRO DE MAINO	AMAZONAS	CHACHAPOYAS	SAN ISIDRO DE MAINO
010120	AMAZONAS / CHACHAPOYAS / SOLOCO	AMAZONAS	CHACHAPOYAS	SOLOCO
010121	AMAZONAS / CHACHAPOYAS / SONCHE	AMAZONAS	CHACHAPOYAS	SONCHE
010201	AMAZONAS / BAGUA / BAGUA	AMAZONAS	BAGUA	BAGUA
010202	AMAZONAS / BAGUA / ARAMANGO	AMAZONAS	BAGUA	ARAMANGO
010203	AMAZONAS / BAGUA / COPALLIN	AMAZONAS	BAGUA	COPALLIN
010204	AMAZONAS / BAGUA / EL PARCO	AMAZONAS	BAGUA	EL PARCO
010205	AMAZONAS / BAGUA / IMAZA	AMAZONAS	BAGUA	IMAZA
010206	AMAZONAS / BAGUA / LA PECA	AMAZONAS	BAGUA	LA PECA
010301	AMAZONAS / BONGARA / JUMBILLA	AMAZONAS	BONGARA	JUMBILLA
010302	AMAZONAS / BONGARA / CHISQUILLA	AMAZONAS	BONGARA	CHISQUILLA
010303	AMAZONAS / BONGARA / CHURUJA	AMAZONAS	BONGARA	CHURUJA
010304	AMAZONAS / BONGARA / COROSHA	AMAZONAS	BONGARA	COROSHA
010305	AMAZONAS / BONGARA / CUISPES	AMAZONAS	BONGARA	CUISPES
010306	AMAZONAS / BONGARA / FLORIDA	AMAZONAS	BONGARA	FLORIDA
010307	AMAZONAS / BONGARA / JAZAN	AMAZONAS	BONGARA	JAZAN
010308	AMAZONAS / BONGARA / RECTA	AMAZONAS	BONGARA	RECTA
010309	AMAZONAS / BONGARA / SAN CARLOS	AMAZONAS	BONGARA	SAN CARLOS
010310	AMAZONAS / BONGARA / SHIPASBAMBA	AMAZONAS	BONGARA	SHIPASBAMBA
010311	AMAZONAS / BONGARA / VALERA	AMAZONAS	BONGARA	VALERA
010312	AMAZONAS / BONGARA / YAMBRASBAMBA	AMAZONAS	BONGARA	YAMBRASBAMBA
010401	AMAZONAS / CONDORCANQUI / NIEVA	AMAZONAS	CONDORCANQUI	NIEVA
010402	AMAZONAS / CONDORCANQUI / EL CENEPA	AMAZONAS	CONDORCANQUI	EL CENEPA
010403	AMAZONAS / CONDORCANQUI / RIO SANTIAGO	AMAZONAS	CONDORCANQUI	RIO SANTIAGO
010501	AMAZONAS / LUYA / LAMUD	AMAZONAS	LUYA	LAMUD
010502	AMAZONAS / LUYA / CAMPORREDONDO	AMAZONAS	LUYA	CAMPORREDONDO
010503	AMAZONAS / LUYA / COCABAMBA	AMAZONAS	LUYA	COCABAMBA
010504	AMAZONAS / LUYA / COLCAMAR	AMAZONAS	LUYA	COLCAMAR
010505	AMAZONAS / LUYA / CONILA	AMAZONAS	LUYA	CONILA
010506	AMAZONAS / LUYA / INGUILPATA	AMAZONAS	LUYA	INGUILPATA
010507	AMAZONAS / LUYA / LONGUITA	AMAZONAS	LUYA	LONGUITA
010508	AMAZONAS / LUYA / LONYA CHICO	AMAZONAS	LUYA	LONYA CHICO
010509	AMAZONAS / LUYA / LUYA	AMAZONAS	LUYA	LUYA
010510	AMAZONAS / LUYA / LUYA VIEJO	AMAZONAS	LUYA	LUYA VIEJO
010511	AMAZONAS / LUYA / MARIA	AMAZONAS	LUYA	MARIA
010512	AMAZONAS / LUYA / OCALLI	AMAZONAS	LUYA	OCALLI
010513	AMAZONAS / LUYA / OCUMAL	AMAZONAS	LUYA	OCUMAL
010514	AMAZONAS / LUYA / PISUQUIA	AMAZONAS	LUYA	PISUQUIA
010515	AMAZONAS / LUYA / PROVIDENCIA	AMAZONAS	LUYA	PROVIDENCIA
010516	AMAZONAS / LUYA / SAN CRISTOBAL	AMAZONAS	LUYA	SAN CRISTOBAL
010517	AMAZONAS / LUYA / SAN FRANCISCO DEL YESO	AMAZONAS	LUYA	SAN FRANCISCO DEL YESO
010518	AMAZONAS / LUYA / SAN JERONIMO	AMAZONAS	LUYA	SAN JERONIMO
010519	AMAZONAS / LUYA / SAN JUAN DE LOPECANCHA	AMAZONAS	LUYA	SAN JUAN DE LOPECANCHA
010520	AMAZONAS / LUYA / SANTA CATALINA	AMAZONAS	LUYA	SANTA CATALINA
010521	AMAZONAS / LUYA / SANTO TOMAS	AMAZONAS	LUYA	SANTO TOMAS
010522	AMAZONAS / LUYA / TINGO	AMAZONAS	LUYA	TINGO
010523	AMAZONAS / LUYA / TRITA	AMAZONAS	LUYA	TRITA
010601	AMAZONAS / RODRIGUEZ DE MENDOZA / SAN NICOLAS	AMAZONAS	RODRIGUEZ DE MENDOZA	SAN NICOLAS
010602	AMAZONAS / RODRIGUEZ DE MENDOZA / CHIRIMOTO	AMAZONAS	RODRIGUEZ DE MENDOZA	CHIRIMOTO
