Código	Descripción	Listado	Partidas arancelarias
10171503	Harina, polvo y "pellets" de pescado, crustáceos, moluscos y demás invertebrados acuáticos	25.2 Bien sujeto a detracción	
11101600	Minerales metálicos no auríferos	25.2 Bien sujeto a detracción	
11101616	Mineral de oro	25.1 Padrón obligado: Oro	2616.90.10.00
11101714	Plomo	25.2 Bien sujeto a detracción	
11101801	Oro	25.1 Padrón obligado: Oro	2843.30.00.00, 2843.90.00.00, 7108.11.00.00, 7108.12.00.00, 7108.13.00.00, 7108.20.00.00 y 7112.91.00.00
11111111	Bienes gravados con el IGV por renuncia a la exoneración	25.2 Bien sujeto a detracción	
11111600	Piedra	25.2 Bien sujeto a detracción	
11111700	Arena	25.2 Bien sujeto a detracción	
11121600	Madera	25.2 Bien sujeto a detracción	
11140000	Chatarra y materiales de desecho	25.2 Bien sujeto a detracción	
12131500	Explosivos	25.1 Padrón obligado: Explosivos	3601.00.00.00 y 2904.20.20.00
12131501	Dinamita	25.1 Padrón obligado: Explosivos	3602.00.11.00
12131502	Cartuchos explosivos	25.1 Padrón obligado: Explosivos	3602.00.90.00
12131503	Explosivos propelentes	25.1 Padrón obligado: Explosivos	
12131504	Cargas explosivas	25.1 Padrón obligado: Explosivos	
12131505	Explosivos plásticos	25.1 Padrón obligado: Explosivos	
12131506	Explosivos aluminizados	25.1 Padrón obligado: Explosivos	
12131507	Explosivos de nitrato de amonio	25.1 Padrón obligado: Explosivos	3602.00.20.90
12131508	Explosivos de polvo de nitroglicerina	25.1 Padrón obligado: Explosivos	
12131509	Nitrato de amonio y fuel oil	25.1 Padrón obligado: Explosivos	3602.00.20.10
12141726	Mercurio Hg	25.1 Padrón obligado: Insumos químicos	2805.40.00.00
12142104	Dióxido de carbono	25.3 Bien sujeto a percepción	
12352104	Alcoholes o sus sustitutos	25.1 Padrón obligado: Otros bienes	2207.10.00.00, 2207.20.00.10, 2207.20.00.90 y 2208.90.10.00
12352117	Cianuros o isocianuros	25.1 Padrón obligado: Insumos químicos	2837.11.10.00 y 2811.12.00.00
13102020	Envases o prefomas, de poli (tereftalato de etileno) (PET)	25.3 Bien sujeto a percepción	
13111039	Poli (tereftalato de etileno) sin adición de dióxido de titanio, en formas primarias	25.3 Bien sujeto a percepción	
15100000	Otros combustibles	25.1 Padrón obligado: Combustible	
15101502	Kerosene	25.3 Bien sujeto a percepción	
15101504	Combustible para Aviación	25.3 Bien sujeto a percepción	
15101505	Combustible diésel	25.1 Padrón obligado: Combustible	
15101506	Gasolina	25.1 Padrón obligado: Combustible	
15101509	Combustible de uso marino (bunker)	25.3 Bien sujeto a percepción	
15111510	Gas licuado de petróleo	25.3 Bien sujeto a percepción	
20101504	Cortadores de roca	25.1 Padrón obligado: Maquinarias y equipos	8430.39.00.00
20101600	Cribas y equipos de alimentación	25.1 Padrón obligado: Maquinarias y equipos	8474.10.20.00 y 8474.10.90.00
20111601	Maquinaria de sondeo o de perforación	25.1 Padrón obligado: Maquinarias y equipos	8430.41.00.00 y 8430.49.00.00
20111607	Maquinaria para hacer túneles	25.1 Padrón obligado: Maquinarias y equipos	8430.31.00.00
22101501	Cargadores frontales	25.1 Padrón obligado: Maquinarias y equipos	8429.51.00.00 y 8429.52.00.00
22101502	Niveladoras	25.1 Padrón obligado: Maquinarias y equipos	8429.20.00.00 y 8429.52.00.00
22101505	Aplanadoras	25.1 Padrón obligado: Maquinarias y equipos	8429.40.00.00 y 8429.52.00.00
22101509	Retroexcavadoras	25.1 Padrón obligado: Maquinarias y equipos	8429.59.00.00 y 8429.52.00.00
22101511	Compactadores	25.1 Padrón obligado: Maquinarias y equipos	8429.40.00.00 y 8429.52.00.00
22101513	Dragalíneas	25.1 Padrón obligado: Maquinarias y equipos	8905.10.00.00 y 8429.52.00.00
22101514	Dragas	25.1 Padrón obligado: Maquinarias y equipos	8905.10.00.00 y 8429.52.00.00
22101516	Excavadoras de fosos	25.1 Padrón obligado: Maquinarias y equipos	8429.52.00.00 y 8429.59.00.00
22101518	Raspadores elevadores	25.1 Padrón obligado: Maquinarias y equipos	8429.30.00.00 y 8429.52.00.00
22101519	Máquina giratoria con cazoleta de rastrillos abiertas	25.1 Padrón obligado: Maquinarias y equipos	8429.30.00.00 y 8429.52.00.00
